G,Date,Start (ET),,,Opponent,,,Tm,Opp,W,L,Streak
1,Wed Oct 23 2019,7:30p,Box Score,@,Philadelphia 76ers,L,,93,107,0,1,L 1
2,Fri Oct 25 2019,7:00p,Box Score,,Toronto Raptors,W,,112,106,1,1,W 1
3,Sat Oct 26 2019,7:30p,Box Score,@,New York Knicks,W,,118,95,2,1,W 2
4,Wed Oct 30 2019,7:30p,Box Score,,Milwaukee Bucks,W,,116,105,3,1,W 3
5,Fri Nov 1 2019,7:30p,Box Score,,New York Knicks,W,,104,102,4,1,W 4
6,Tue Nov 5 2019,7:00p,Box Score,@,Cleveland Cavaliers,W,,119,113,5,1,W 5
7,Thu Nov 7 2019,8:00p,Box Score,@,Charlotte Hornets,W,,108,87,6,1,W 6
8,Sat Nov 9 2019,5:00p,Box Score,@,San Antonio Spurs,W,,135,115,7,1,W 7
9,Mon Nov 11 2019,7:30p,Box Score,,Dallas Mavericks,W,,116,106,8,1,W 8
10,Wed Nov 13 2019,7:30p,Box Score,,Washington Wizards,W,,140,133,9,1,W 9
11,Fri Nov 15 2019,10:30p,Box Score,@,Golden State Warriors,W,,105,100,10,1,W 10
12,Sun Nov 17 2019,3:30p,Box Score,@,Sacramento Kings,L,,99,100,10,2,L 1
13,Mon Nov 18 2019,9:00p,Box Score,@,Phoenix Suns,W,,99,85,11,2,W 1
14,Wed Nov 20 2019,10:00p,Box Score,@,Los Angeles Clippers,L,OT,104,107,11,3,L 1
15,Fri Nov 22 2019,9:00p,Box Score,@,Denver Nuggets,L,,92,96,11,4,L 2
16,Mon Nov 25 2019,7:30p,Box Score,,Sacramento Kings,W,,103,102,12,4,W 1
17,Wed Nov 27 2019,7:00p,Box Score,,Brooklyn Nets,W,,121,110,13,4,W 2
18,Fri Nov 29 2019,12:00p,Box Score,@,Brooklyn Nets,L,,107,112,13,5,L 1
19,Sun Dec 1 2019,3:30p,Box Score,@,New York Knicks,W,,113,104,14,5,W 1
20,Wed Dec 4 2019,7:30p,Box Score,,Miami Heat,W,,112,93,15,5,W 2
21,Fri Dec 6 2019,8:00p,Box Score,,Denver Nuggets,W,,108,95,16,5,W 3
22,Mon Dec 9 2019,7:30p,Box Score,,Cleveland Cavaliers,W,,110,88,17,5,W 4
23,Wed Dec 11 2019,7:00p,Box Score,@,Indiana Pacers,L,,117,122,17,6,L 1
24,Thu Dec 12 2019,8:00p,Box Score,,Philadelphia 76ers,L,,109,115,17,7,L 2
25,Wed Dec 18 2019,9:30p,Box Score,@,Dallas Mavericks,W,,109,103,18,7,W 1
26,Fri Dec 20 2019,7:30p,Box Score,,Detroit Pistons,W,,114,93,19,7,W 2
27,Sun Dec 22 2019,6:00p,Box Score,,Charlotte Hornets,W,,119,93,20,7,W 3
28,Wed Dec 25 2019,12:00p,Box Score,@,Toronto Raptors,W,,118,102,21,7,W 4
29,Fri Dec 27 2019,4:00p,Box Score,,Cleveland Cavaliers,W,,129,117,22,7,W 5
30,Sat Dec 28 2019,7:00p,Box Score,,Toronto Raptors,L,,97,113,22,8,L 1
31,Tue Dec 31 2019,3:00p,Box Score,@,Charlotte Hornets,W,,109,92,23,8,W 1
32,Fri Jan 3 2020,7:00p,Box Score,,Atlanta Hawks,W,,109,106,24,8,W 2
33,Sat Jan 4 2020,8:00p,Box Score,@,Chicago Bulls,W,,111,104,25,8,W 3
34,Mon Jan 6 2020,7:00p,Box Score,@,Washington Wizards,L,,94,99,25,9,L 1
35,Wed Jan 8 2020,7:00p,Box Score,,San Antonio Spurs,L,,114,129,25,10,L 2
36,Thu Jan 9 2020,7:00p,Box Score,@,Philadelphia 76ers,L,,98,109,25,11,L 3
37,Sat Jan 11 2020,7:00p,Box Score,,New Orleans Pelicans,W,,140,105,26,11,W 1
38,Mon Jan 13 2020,7:30p,Box Score,,Chicago Bulls,W,,113,101,27,11,W 2
39,Wed Jan 15 2020,7:00p,Box Score,,Detroit Pistons,L,,103,116,27,12,L 1
40,Thu Jan 16 2020,8:00p,Box Score,@,Milwaukee Bucks,L,,123,128,27,13,L 2
41,Sat Jan 18 2020,7:00p,Box Score,,Phoenix Suns,L,,119,123,27,14,L 3
42,Mon Jan 20 2020,7:30p,Box Score,,Los Angeles Lakers,W,,139,107,28,14,W 1
43,Wed Jan 22 2020,7:30p,Box Score,,Memphis Grizzlies,W,,119,95,29,14,W 2
44,Fri Jan 24 2020,7:00p,Box Score,@,Orlando Magic,W,,109,98,30,14,W 3
45,Sun Jan 26 2020,6:00p,Box Score,@,New Orleans Pelicans,L,,108,123,30,15,L 1
46,Tue Jan 28 2020,8:00p,Box Score,@,Miami Heat,W,,109,101,31,15,W 1
47,Thu Jan 30 2020,8:00p,Box Score,,Golden State Warriors,W,,119,104,32,15,W 2
48,Sat Feb 1 2020,8:30p,Box Score,,Philadelphia 76ers,W,,116,95,33,15,W 3
49,Mon Feb 3 2020,7:30p,Box Score,@,Atlanta Hawks,W,,123,115,34,15,W 4
50,Wed Feb 5 2020,7:30p,Box Score,,Orlando Magic,W,,116,100,35,15,W 5
51,Fri Feb 7 2020,7:30p,Box Score,,Atlanta Hawks,W,,112,107,36,15,W 6
52,Sun Feb 9 2020,3:30p,Box Score,@,Oklahoma City Thunder,W,,112,111,37,15,W 7
53,Tue Feb 11 2020,9:30p,Box Score,@,Houston Rockets,L,,105,116,37,16,L 1
54,Thu Feb 13 2020,8:00p,Box Score,,Los Angeles Clippers,W,2OT,141,133,38,16,W 1
55,Fri Feb 21 2020,8:00p,Box Score,@,Minnesota Timberwolves,W,,127,117,39,16,W 2
56,Sun Feb 23 2020,3:30p,Box Score,@,Los Angeles Lakers,L,,112,114,39,17,L 1
57,Tue Feb 25 2020,10:00p,Box Score,@,Portland Trail Blazers,W,,118,106,40,17,W 1
58,Wed Feb 26 2020,10:30p,Box Score,@,Utah Jazz,W,,114,103,41,17,W 2
59,Sat Feb 29 2020,8:30p,Box Score,,Houston Rockets,L,OT,110,111,41,18,L 1
60,Tue Mar 3 2020,7:30p,Box Score,,Brooklyn Nets,L,OT,120,129,41,19,L 2
61,Wed Mar 4 2020,7:00p,Box Score,@,Cleveland Cavaliers,W,,112,106,42,19,W 1
62,Fri Mar 6 2020,8:00p,Box Score,,Utah Jazz,L,,94,99,42,20,L 1
63,Sun Mar 8 2020,6:00p,Box Score,,Oklahoma City Thunder,L,,104,105,42,21,L 2
64,Tue Mar 10 2020,7:00p,Box Score,@,Indiana Pacers,W,,114,111,43,21,W 1
65,Fri Jul 31 2020,6:30p,Box Score,@,Milwaukee Bucks,L,,112,119,43,22,L 1
66,Sun Aug 2 2020,3:30p,Box Score,,Portland Trail Blazers,W,,128,124,44,22,W 1
67,Tue Aug 4 2020,6:30p,Box Score,@,Miami Heat,L,,106,112,44,23,L 1
68,Wed Aug 5 2020,9:00p,Box Score,,Brooklyn Nets,W,,149,115,45,23,W 1
69,Fri Aug 7 2020,9:00p,Box Score,@,Toronto Raptors,W,,122,100,46,23,W 2
70,Sun Aug 9 2020,5:00p,Box Score,,Orlando Magic,W,OT,122,119,47,23,W 3
71,Tue Aug 11 2020,5:00p,Box Score,@,Memphis Grizzlies,W,,122,107,48,23,W 4
72,Thu Aug 13 2020,12:00p,Box Score,,Washington Wizards,L,,90,96,48,24,L 1